Distance (m),Measured Width (m)
10,4.49
20,4.32
30,4.7
40,3.71
50,5.08
60,2.25
70,2
80,2.14
90,2.62
100,3.44
110,1.96
120,2.7
130,2.42
140,3.08
150,4.27
160,4.58
210,3.24
220,2.7
230,4.8
240,6.09
250,6.98
260,6.52
270,4.43
280,4.91
310,4.16
320,4.04
330,5.11
340,5.04
370,7.46
380,7.36
400,5.4
420,5.09
430,5.34
440,5.58
450,5.15
460,6.89
470,6.49
480,5.66
530,5.48
560,8.5
570,7.12
580,6.91
590,6.01
600,6.3
650,8.04
660,8
670,8.27
680,15.25
690,16.04
950.00,37